Rxn name	Rxn description	Formula	Gene-reaction association	Genes	Subsystem	Reversible	LB	UB
KAS15	beta ketoacyl ACP synthase 2 	accoa[c] + h[c] + malACP[c] --> actACP[c] + co2[c] + coa[c] 	STM1193	STM1193	Membrane Lipid Metabolism	0	0	1000
KAT1	3 ketoacyl CoA thiolase	aacoa[c] + coa[c] --> 2 accoa[c] 	( STM2389  or  STM3982 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT2	3 ketoacyl CoA thiolase	3ohcoa[c] + coa[c] --> accoa[c] + btcoa[c] 	( STM3982  or  STM2389 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT3	3 ketoacyl CoA thiolase	3oocoa[c] + coa[c] --> accoa[c] + hxcoa[c] 	( STM2389  or  STM3982 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT4	3 ketoacyl CoA thiolase	3odcoa[c] + coa[c] --> accoa[c] + occoa[c] 	( STM2389  or  STM3982 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT5	3 ketoacyl CoA thiolase	3oddcoa[c] + coa[c] --> accoa[c] + dcacoa[c] 	( STM2389  or  STM3982 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT6	3 ketoacyl CoA thiolase	3otdcoa[c] + coa[c] --> accoa[c] + ddcacoa[c] 	( STM3982  or  STM2389 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT7	3 ketoacyl CoA thiolase	3ohdcoa[c] + coa[c] --> accoa[c] + tdcoa[c] 	( STM3982  or  STM2389 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KAT8	3 ketoacyl CoA thiolase	3oodcoa[c] + coa[c] --> accoa[c] + pmtcoa[c] 	( STM3982  or  STM2389 )	STM2389 STM3982	Membrane Lipid Metabolism	0	0	1000
KDOCT2	3 deoxy manno octulosonate cytidylyltransferase	ctp[c] + kdo[c] --> ckdo[c] + ppi[c] 	STM0988	STM0988	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
KDOPP	3 deoxy manno octulosonate 8 phosphatase	h2o[c] + kdo8p[c] --> kdo[c] + pi[c] 	STM3316	STM3316	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
KDOPS	3 deoxy D manno octulosonic acid 8 phosphate synthase	ara5p[c] + h2o[c] + pep[c] --> kdo8p[c] + pi[c] 	STM1772	STM1772	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
KG6PDC	3 keto L gulonate 6 phosphate decarboxylase	3dhgulnp[c] + h[c] --> co2[c] + xu5p-L[c] 	( STM4386  or  STM3675 )	STM3675 STM4386	Alternate Carbon Metabolism	0	0	1000
Kt2pp	potassium transport in via proton symport periplasm 	h[p] + k[p] --> h[c] + k[c] 	( STM3880  or  ( STM1695  and  STM3409  and  STM3986 ) )	STM1695 STM3409 STM3880 STM3986	Inorganic Ion Transport and Metabolism	0	0	1000
Kt3pp	potassium transport out via proton antiport periplasm 	h[p] + k[c] --> h[c] + k[p] 	( STM3457  or  STM0086  or  STM1771  or  STM0866 )	STM0086 STM0866 STM1771 STM3457	Inorganic Ion Transport and Metabolism	0	0	1000
Ktex	potassium transport via diffusion extracellular to periplasm 	k[e] <=> k[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
L_LACD2	L Lactate dehydrogenase ubiquinone 	lac-L[c] + q8[c] --> pyr[c] + q8h2[c] 	STM3694	STM3694	Oxidative Phosphorylation	0	0	1000
L_LACD3	L Lactate dehydrogenase menaquinone 	lac-L[c] + mqn8[c] --> mql8[c] + pyr[c] 	STM3694	STM3694	Oxidative Phosphorylation	0	0	1000
L_LACt2rpp	L lactate reversible transport via proton symport periplasm 	h[p] + lac-L[p] <=> h[c] + lac-L[c] 	STM3692	STM3692	Transport Inner Membrane	1	-1000	1000
L_LACtex	L lactate transport via diffusion extracellular to periplasm 	lac-L[e] <=> lac-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
LA4NTpp	4 amino 4 deoxy L arabinotransferase LPS lipid A modification periplasmic face of membrane 	colipa[p] + uLa4n[p] --> acolipa[p] + udcpp[p] 	STM2301	STM2301	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LADGMDH	L alanyl gamma D glutamyl meso diaminopimelate hydrolase	LalaDgluMdap[c] + h2o[c] --> 26dap-M[c] + LalaDglu[c] 	STM1680	STM1680	Murein Recycling	0	0	1000
LALDO2x	D LactaldehydeNAD 1 oxidoreductase	h[c] + mthgxl[c] + nadh[c] --> lald-D[c] + nad[c] 	STM4108	STM4108	Methylglyoxal Metabolism	0	0	1000
LALGP	L alanyl gamma L glutamate peptidase	LalaLglu[c] + h2o[c] --> ala-L[c] + glu-L[c] 	STM0316	STM0316	Murein Recycling	0	0	1000
LCARR	lacaldehyde reductase R propane 1 2 diol forming 	h[c] + lald-D[c] + nadh[c] <=> 12ppd-R[c] + nad[c] 			Methylglyoxal Metabolism	1	-1000	1000
LCARS	lacaldehyde reductase S propane 1 2 diol forming 	h[c] + lald-L[c] + nadh[c] <=> 12ppd-S[c] + nad[c] 	STM2973	STM2973	Alternate Carbon Metabolism	1	-1000	1000
LCTStex	Lactose transport via diffusion extracellular to periplasm 	lcts[e] <=> lcts[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
LDH_D	D lactate dehydrogenase	lac-D[c] + nad[c] <=> h[c] + nadh[c] + pyr[c] 	( STM2167  or  STM1647 )	STM1647 STM2167	Pyruvate Metabolism	1	-1000	1000
LDH_D2	D lactate dehydrogenase	lac-D[c] + q8[c] --> pyr[c] + q8h2[c] 	STM2167	STM2167	Oxidative Phosphorylation	0	0	1000
LEUabcpp	L leucine transport via ABC system periplasm 	atp[c] + h2o[c] + leu-L[p] --> adp[c] + h[c] + leu-L[c] + pi[c] 	( ( STM3560  and  STM3561  and  STM3563  and  STM3567  and  STM3562 )  or  ( STM3560  and  STM3561  and  STM3563  and  STM3564  and  STM3562 ) )	STM3560 STM3561 STM3562 STM3563 STM3564 STM3567	Transport Inner Membrane	0	0	1000
LEUt2rpp	L leucine reversible transport via proton symport periplasm 	h[p] + leu-L[p] <=> h[c] + leu-L[c] 	STM0399	STM0399	Transport Inner Membrane	1	-1000	1000
LEUt4rpp	L-leucine transport in via sodium symport	leu-L[p] + na1[p] <=> leu-L[c] + na1[c] 	STM0399	STM0399	Transport	1	-1000	1000
LEUTAi	leucine transaminase irreversible 	4mop[c] + glu-L[c] --> akg[c] + leu-L[c] 	( STM3903  or  STM4248 )	STM3903 STM4248	Valine Leucine and Isoleucine Metabolism	0	0	1000
LEUtex	L leucine transport via diffusion extracellular to periplasm 	leu-L[e] <=> leu-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
LEUTRS	Leucyl tRNA synthetase	atp[c] + leu-L[c] + trnaleu[c] --> amp[c] + leutrna[c] + ppi[c] 	STM0648	STM0648	tRNA Charging	0	0	1000
LGTHL	lactoylglutathione lyase	gthrd[c] + mthgxl[c] --> lgt-S[c] 	( STM1435 or STM0235 )	STM0235 STM1435	Methylglyoxal Metabolism	0	0	1000
LIPAabcpp	lipid A transport via ABC system periplasm 	atp[c] + h2o[c] + lipa[c] --> adp[c] + h[c] + lipa[p] + pi[c] 	STM0984	STM0984	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LIPACabcpp	lipid cold A transport via ABC system periplasm 	atp[c] + h2o[c] + lipa-cold[c] --> adp[c] + h[c] + lipa-cold[p] + pi[c] 	STM0984	STM0984	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LIPAHT2ex	core oligosaccharide lipid Ahexadecanoate transferase n C160  extracellular membrane 	colipa[e] + h[e] + hdca[e] --> h2o[e] + hacolipa[e] 	STM0628	STM0628	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LIPAHTex	Lipid Ahexadecanoate transferase n C160  extracellular membrane 	h[e] + hdca[e] + lipa[e] --> h2o[e] + halipa[e] 	STM0628	STM0628	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LIPAtex	lipid A transport via vector periplasm to extracellular 	lipa[p] --> lipa[e] 			Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LPADSS	Lipid A disaccaride synthase	lipidX[c] + u23ga[c] --> h[c] + lipidAds[c] + udp[c] 	STM0229	STM0229	Lipopolysaccharide Biosynthesis Recycling	0	0	1000
LPLIPAL1A120pp	Lysophospholipase L1 2 acylglycerophosphotidate n C120  periplasm 	1ddecg3p[p] + h2o[p] --> ddca[p] + glyc3p[p] + h[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A140pp	Lysophospholipase L1 2 acylglycerophosphotidate n C140  periplasm 	1tdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A141pp	Lysophospholipase L1 2 acylglycerophosphotidate n C141  periplasm 	1tdec7eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A160pp	Lysophospholipase L1 2 acylglycerophosphotidate n C160  periplasm 	1hdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A161pp	Lysophospholipase L1 2 acylglycerophosphotidate n C161  periplasm 	1hdec9eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A180pp	Lysophospholipase L1 2 acylglycerophosphotidate n C180  periplasm 	1odecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1A181pp	Lysophospholipase L1 2 acylglycerophosphotidate n C181  periplasm 	1odec11eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E120pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C120  periplasm 	1agpe120[p] + h2o[p] --> ddca[p] + g3pe[p] + h[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E140pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C140  periplasm 	1agpe140[p] + h2o[p] --> g3pe[p] + h[p] + ttdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E141pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C141  periplasm 	1agpe141[p] + h2o[p] --> g3pe[p] + h[p] + ttdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E160pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C160  periplasm 	1agpe160[p] + h2o[p] --> g3pe[p] + h[p] + hdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E161pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C161  periplasm 	1agpe161[p] + h2o[p] --> g3pe[p] + h[p] + hdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E180pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C180  periplasm 	1agpe180[p] + h2o[p] --> g3pe[p] + h[p] + ocdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1E181pp	Lysophospholipase L1 2 acylglycerophosphoethanolamine n C181  periplasm 	1agpe181[p] + h2o[p] --> g3pe[p] + h[p] + ocdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G120pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C120  periplasm 	1agpg120[p] + h2o[p] --> ddca[p] + g3pg[p] + h[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G140pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C140  periplasm 	1agpg140[p] + h2o[p] --> g3pg[p] + h[p] + ttdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G141pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C141  periplasm 	1agpg141[p] + h2o[p] --> g3pg[p] + h[p] + ttdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G160pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C160  periplasm 	1agpg160[p] + h2o[p] --> g3pg[p] + h[p] + hdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G161pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C161  periplasm 	1agpg161[p] + h2o[p] --> g3pg[p] + h[p] + hdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G180pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C180  periplasm 	1agpg180[p] + h2o[p] --> g3pg[p] + h[p] + ocdca[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL1G181pp	Lysophospholipase L1 2 acylglycerophosphoglycerol n C181  periplasm 	1agpg181[p] + h2o[p] --> g3pg[p] + h[p] + ocdcea[p] 	STM0506	STM0506	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A120	Lysophospholipase L2 2 acylglycerophosphotidate n C120 	2ddecg3p[c] + h2o[c] --> ddca[c] + glyc3p[c] + 2 h[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A140	Lysophospholipase L2 2 acylglycerophosphotidate n C140 	2tdecg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + ttdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A141	Lysophospholipase L2 2 acylglycerophosphotidate n C141 	2tdec7eg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + ttdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A160	Lysophospholipase L2 2 acylglycerophosphotidate n C160 	2hdecg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + hdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A161	Lysophospholipase L2 2 acylglycerophosphotidate n C161 	2hdec9eg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + hdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A180	Lysophospholipase L2 2 acylglycerophosphotidate n C180 	2odecg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + ocdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2A181	Lysophospholipase L2 2 acylglycerophosphotidate n C181 	2odec11eg3p[c] + h2o[c] --> glyc3p[c] + 2 h[c] + ocdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE120	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C120 	2agpe120[c] + pg120[c] --> apg120[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE140	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C140 	2agpe140[c] + pg140[c] --> apg140[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE141	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C141 	2agpe141[c] + pg141[c] --> apg141[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE160	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C160 	2agpe160[c] + pg160[c] --> apg160[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE161	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C161 	2agpe161[c] + pg161[c] --> apg161[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE180	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C180 	2agpe180[c] + pg180[c] --> apg180[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATE181	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoethanolamine n C181 	2agpe181[c] + pg181[c] --> apg181[c] + g3pe[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG120	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C120 	2agpg120[c] + pg120[c] --> apg120[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG140	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C140 	2agpg140[c] + pg140[c] --> apg140[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG141	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C141 	2agpg141[c] + pg141[c] --> apg141[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG160	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C160 	2agpg160[c] + pg160[c] --> apg160[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG161	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C161 	2agpg161[c] + pg161[c] --> apg161[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG180	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C180 	2agpg180[c] + pg180[c] --> apg180[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2ATG181	Lysophospholipase L2 acyltransferase 2 acyl glycerophosphoglycerol n C181 	2agpg181[c] + pg181[c] --> apg181[c] + g3pg[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E120	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C120 	2agpe120[c] + h2o[c] --> ddca[c] + g3pe[c] + h[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E140	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C140 	2agpe140[c] + h2o[c] --> g3pe[c] + h[c] + ttdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E141	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C141 	2agpe141[c] + h2o[c] --> g3pe[c] + h[c] + ttdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E160	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C160 	2agpe160[c] + h2o[c] --> g3pe[c] + h[c] + hdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E161	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C161 	2agpe161[c] + h2o[c] --> g3pe[c] + h[c] + hdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E180	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C180 	2agpe180[c] + h2o[c] --> g3pe[c] + h[c] + ocdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2E181	Lysophospholipase L2 2 acylglycerophosphoethanolamine n C181 	2agpe181[c] + h2o[c] --> g3pe[c] + h[c] + ocdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G120	Lysophospholipase L2 2 acylglycerophosphoglycerol n C120 	2agpg120[c] + h2o[c] --> ddca[c] + g3pg[c] + h[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G140	Lysophospholipase L2 2 acylglycerophosphoglycerol n C140 	2agpg140[c] + h2o[c] --> g3pg[c] + h[c] + ttdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G141	Lysophospholipase L2 2 acylglycerophosphoglycerol n C141 	2agpg141[c] + h2o[c] --> g3pg[c] + h[c] + ttdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G160	Lysophospholipase L2 2 acylglycerophosphoglycerol n C160 	2agpg160[c] + h2o[c] --> g3pg[c] + h[c] + hdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G161	Lysophospholipase L2 2 acylglycerophosphoglycerol n C161 	2agpg161[c] + h2o[c] --> g3pg[c] + h[c] + hdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G180	Lysophospholipase L2 2 acylglycerophosphoglycerol n C180 	2agpg180[c] + h2o[c] --> g3pg[c] + h[c] + ocdca[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LPLIPAL2G181	Lysophospholipase L2 2 acylglycerophosphoglycerol n C181 	2agpg181[c] + h2o[c] --> g3pg[c] + h[c] + ocdcea[c] 	STM3961	STM3961	Glycerophospholipid Metabolism	0	0	1000
LSERDHr	L serine dehydrogenase	nadp[c] + ser-L[c] <=> 2amsa[c] + h[c] + nadph[c] 	STM1511	STM1511	Glycine and Serine Metabolism	1	-1000	1000
LTHRK	L threonine kinase	atp[c] + thr-L[c] --> adp[c] + h[c] + thrp[c] 	STM2058	STM2058	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
LYSabcpp	L lysine transport via ABC system periplasm 	atp[c] + h2o[c] + lys-L[p] --> adp[c] + h[c] + lys-L[c] + pi[c] 	( STM2355  and  STM2352  and  STM2351  and  STM2353 )	STM2351 STM2352 STM2353 STM2355	Transport Inner Membrane	0	0	1000
LYSDC	lysine decarboxylase	h[c] + lys-L[c] --> 15dap[c] + co2[c] 	( STM0234  or  STM2559 )	STM0234 STM2559	Threonine and Lysine Metabolism	0	0	1000
LYSt2pp	L lysine transport in via proton symport periplasm 	h[p] + lys-L[p] <=> h[c] + lys-L[c] 	STM2200	STM2200	Transport Inner Membrane	1	0	1000
LYSt3pp	L lysine transport out via proton antiport cytoplasm to periplasm 	h[p] + lys-L[c] --> h[c] + lys-L[p] 	STM3066	STM3066	Transport Inner Membrane	0	0	1000
LYStex	L lysine transport via diffusion extracellular to periplasm 	lys-L[e] <=> lys-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
LYSTRS	Lysyl tRNA synthetase	atp[c] + lys-L[c] + trnalys[c] --> amp[c] + lystrna[c] + ppi[c] 	STM3040	STM3040	tRNA Charging	0	0	1000
LYXI	Lyxose isomerase	lyx-L[c] --> xylu-L[c] 	STM4046	STM4046	Alternate Carbon Metabolism	0	0	1000
LYXt2pp	L Lyxose transport via proton symport periplasm 	h[p] + lyx-L[p] --> h[c] + lyx-L[c] 	STM4050	STM4050	Transport Inner Membrane	0	0	1000
LYXtex	L Lyxose transport via diffusion extracellular to periplasm 	lyx-L[e] <=> lyx-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
M1PD	mannitol 1 phosphate 5 dehydrogenase	mnl1p[c] + nad[c] <=> f6p[c] + h[c] + nadh[c] 	STM3686	STM3686	Alternate Carbon Metabolism	1	-1000	1000
MACPD	Malonyl ACP decarboxylase	h[c] + malACP[c] --> acACP[c] + co2[c] 	STM2378	STM2378	Membrane Lipid Metabolism	0	0	1000
MALDt2_2pp	D Malate transport via proton symport 2 H  periplasm 	2 h[p] + mal-D[p] --> 2 h[c] + mal-D[c] 	STM3614	STM3614	Transport Inner Membrane	0	0	1000
MALDtex	D Malate transport via diffusion extracellular to periplasm 	mal-D[e] <=> mal-D[p] 	( STM1473  or  STM0999  or  STM2267  or  STM0320 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
MALS	malate synthase	accoa[c] + glx[c] + h2o[c] --> coa[c] + h[c] + mal-L[c] 	STM4183	STM4183	Anaplerotic Reactions	0	0	1000
MALt2_2pp	Malate transport via proton symport 2 H  periplasm 	2 h[p] + mal-L[p] --> 2 h[c] + mal-L[c] 	STM3614	STM3614	Transport Inner Membrane	0	0	1000
MALt2_3pp	Malate transport via proton symport 3 H  periplasm 	3 h[p] + mal-L[p] --> 3 h[c] + mal-L[c] 	( STM4301  or  STM4325 or STM3599 )	STM3599 STM4301 STM4325	Transport Inner Membrane	0	0	1000
MALTabcpp	maltose transport via ABC system periplasm 	atp[c] + h2o[c] + malt[p] --> adp[c] + h[c] + malt[c] + pi[c] 	( STM4229  and  STM4228  and  STM4227  and  STM4230 )	STM4227 STM4228 STM4229 STM4230	Transport Inner Membrane	0	0	1000
MALTATr	maltose O acetyltransferase	accoa[c] + malt[c] <=> acmalt[c] + coa[c] 	STM0472	STM0472	Alternate Carbon Metabolism	1	-1000	1000
MALtex	Malate transport via diffusion extracellular to periplasm 	mal-L[e] <=> mal-L[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
MALTHXabcpp	maltohexaose transport via ABC system periplasm 	atp[c] + h2o[c] + malthx[p] --> adp[c] + h[c] + malthx[c] + pi[c] 	( STM4229  and  STM4228  and  STM4227  and  STM4230 )	STM4227 STM4228 STM4229 STM4230	Transport Inner Membrane	0	0	1000
MALTHXtexi	maltohexaose transport via diffusion extracellular to periplasm irreversible	malthx[e] --> malthx[p] 	STM4231	STM4231	Transport Outer Membrane	0	0	1000
MALTPTabcpp	maltopentaose transport via ABC system periplasm 	atp[c] + h2o[c] + maltpt[p] --> adp[c] + h[c] + maltpt[c] + pi[c] 	( STM4229  and  STM4228  and  STM4227  and  STM4230 )	STM4227 STM4228 STM4229 STM4230	Transport Inner Membrane	0	0	1000
MALTptspp	maltose transport via PEPPyr PTS periplasm 	malt[p] + pep[c] --> malt6p[c] + pyr[c] 	( STM2433  and  STM1465  and  STM2431  and  STM2432 )	STM1465 STM2431 STM2432 STM2433	Transport Inner Membrane	0	0	1000
MALTPTtexi	maltopentaoseMaltotriose transport via diffusion extracellular to periplasm irreversible	maltpt[e] --> maltpt[p] 	STM4231	STM4231	Transport Outer Membrane	0	0	1000
MALTtexi	maltoseMaltotriose transport via diffusion extracellular to periplasm irreversible	malt[e] --> malt[p] 	STM4231	STM4231	Transport Outer Membrane	0	0	1000
MALTTRabcpp	Maltotriose transport via ABC system periplasm 	atp[c] + h2o[c] + malttr[p] --> adp[c] + h[c] + malttr[c] + pi[c] 	( STM4229  and  STM4228  and  STM4227  and  STM4230 )	STM4227 STM4228 STM4229 STM4230	Transport Inner Membrane	0	0	1000
MALTTRtexi	Maltotriose transport via diffusion extracellular to periplasm irreversible	malttr[e] --> malttr[p] 	STM4231	STM4231	Transport Outer Membrane	0	0	1000
